tweet_id,created_at,text,in_response_to_tweet_id,intent_label,should_escalate,escalation_reason,annotator_notes
2917306,Wed Nov 29 00:06:48 +0000 2017,@AppleSupport 10.13.1 High Sierra. it's been happening for a while now,2917305.0,device_performance,True,"Persistent, severe, or recurring device malfunction.",
118107,Fri Nov 24 01:10:29 +0000 2017,@AppleSupport Just wanted to say thank you again for the quick response and help this morning!☺️ Amazing!!,118106.0,other_unknown,False,,
2815621,Mon Nov 27 03:03:25 +0000 2017,"@AppleSupport And now my work phone, from which I’m tweeting from now, is having that weird ! ? Error",2815620.0,device_performance,True,"Persistent, severe, or recurring device malfunction.",
620207,Wed Nov 22 16:43:25 +0000 2017,"@AppleSupport it's slow, it looks like a low-end phone keyboard or 10 years ago, and everything from the iOS 11 update",620208.0,device_performance,False,,
486092,Fri Dec 01 15:56:56 +0000 2017,"@AppleSupport And now it's working. Spent an hour trying to get it to work before Tweeting. Rebooted, etc. Nothing worked. Now, it works.",486090.0,other_unknown,False,,
1412849,Tue Oct 17 16:51:36 +0000 2017,"@AppleSupport thanks,all is well now and works 👍👍👍",1412847.0,other_unknown,False,,
2734369,Mon Nov 20 19:59:50 +0000 2017,"@AppleSupport I don’t have a membership, I just want to share my music bought in iTunes.",2734368.0,media_services,False,,
31431,Wed Nov 01 13:08:37 +0000 2017,@AppleSupport 11.1 and now it still has the auto corrected A and ? In the box but it doesn’t do it when I️ type I️ and press space,31429.0,device_hardware_features,False,,
814909,Thu Oct 12 20:25:12 +0000 2017,"@AppleSupport No, MacOS. It keeps sending me back to the login screen",814908.0,account_access_security,True,"Account, authentication, activation, or security issue.",
550813,Sat Dec 02 18:52:32 +0000 2017,@AppleSupport The newest one. Two weeks ago. I have disabled and then started again. So I go through the process of my voice with Siri and it says ready to use. I lock phone and say Hey Siri and nothing.,550812.0,device_hardware_features,False,,
2853883,Tue Nov 28 01:15:19 +0000 2017,"@AppleSupport My Mail is connected to 2 Gmail accounts, a Protonmail account (over Protonmail Bridge), and 2 accounts I don't use often: an Exchange account and an iCloud account. I realized just now that my Mail Toolbar has also been reset to default settings.",2853882.0,app_problem,False,,
883982,Fri Oct 20 20:55:13 +0000 2017,@AppleSupport Both. It either resolves itself by locking my phone or resetting my phone. Also when I adjust my sound on the buttons on the side it doesn’t,883981.0,device_performance,True,"Persistent, severe, or recurring device malfunction.",
822232,Thu Oct 12 23:49:54 +0000 2017,@AppleSupport Maps is just plain bad.  Never able to accurately recognize an address link.  Like never.  Google is light years ahead,822230.0,app_problem,False,,
